
Sat Sep 12 10:54:33 EDT 2015
numactl --interleave=all ../testing/testing_dsymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
% MAGMA 1.7.0  compiled for CUDA capability >= 3.5, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 7000, driver 7000. OpenMP threads 16. MKL 11.2.2, MKL threads 16. 
% device 0: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 1: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 2: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% Sat Sep 12 10:54:39 2015
% Usage: ../testing/testing_dsymv [options] [-h|--help]

% uplo = Lower
%   N   MAGMA Gflop/s (ms)    Atomics Gflop/s      CUBLAS Gflop/s       CPU Gflop/s   MAGMA error  Atomics    CUBLAS
%=====================================================================================================================
  123      0.59 (   0.05)      0.61 (   0.05)      0.48 (   0.06)      0.48 (   0.06)   2.31e-16   2.89e-16   2.89e-16   ok
 1234     15.72 (   0.19)     20.89 (   0.15)     13.02 (   0.23)      6.25 (   0.49)   1.01e-15   1.01e-15   1.01e-15   ok
   10      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.08 (   0.00)   1.78e-16   8.88e-17   8.88e-17   ok
   11      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.12 (   0.00)   4.04e-17   8.07e-17   8.07e-17   ok
   12      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.16 (   0.00)   1.11e-16   3.70e-17   3.70e-17   ok
   13      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.17 (   0.00)   6.83e-17   6.83e-17   6.83e-17   ok
   14      0.01 (   0.04)      0.01 (   0.03)      0.02 (   0.03)      0.22 (   0.00)   6.34e-17   6.34e-17   6.34e-17   ok
   15      0.01 (   0.04)      0.02 (   0.03)      0.02 (   0.03)      0.17 (   0.00)   1.18e-16   1.18e-16   1.18e-16   ok
   16      0.01 (   0.04)      0.02 (   0.03)      0.02 (   0.03)      0.25 (   0.00)   1.11e-16   1.11e-16   1.11e-16   ok
   17      0.02 (   0.04)      0.02 (   0.03)      0.02 (   0.03)      0.32 (   0.00)   1.04e-16   1.04e-16   1.57e-16   ok
   18      0.02 (   0.04)      0.02 (   0.03)      0.03 (   0.03)      0.36 (   0.00)   9.87e-17   1.48e-16   9.87e-17   ok
   19      0.02 (   0.04)      0.03 (   0.03)      0.03 (   0.03)      0.35 (   0.00)   4.67e-17   4.67e-17   4.67e-17   ok
   20      0.02 (   0.04)      0.03 (   0.03)      0.03 (   0.03)      0.29 (   0.00)   8.88e-17   8.88e-17   8.88e-17   ok
   21      0.03 (   0.04)      0.03 (   0.03)      0.04 (   0.02)      0.30 (   0.00)   8.46e-17   1.69e-16   8.46e-17   ok
   22      0.03 (   0.04)      0.03 (   0.03)      0.04 (   0.03)      0.25 (   0.00)   1.61e-16   1.61e-16   1.61e-16   ok
   23      0.03 (   0.04)      0.04 (   0.03)      0.04 (   0.03)      0.36 (   0.00)   1.54e-16   1.54e-16   1.54e-16   ok
   24      0.03 (   0.04)      0.04 (   0.03)      0.05 (   0.03)      0.42 (   0.00)   1.48e-16   1.48e-16   1.48e-16   ok
   25      0.04 (   0.04)      0.04 (   0.03)      0.05 (   0.03)      0.45 (   0.00)   7.11e-17   7.11e-17   7.11e-17   ok
   26      0.04 (   0.04)      0.05 (   0.03)      0.05 (   0.03)      0.49 (   0.00)   1.37e-16   1.37e-16   1.37e-16   ok
   27      0.04 (   0.04)      0.05 (   0.03)      0.05 (   0.03)      0.49 (   0.00)   1.32e-16   1.32e-16   1.32e-16   ok
   28      0.04 (   0.04)      0.05 (   0.03)      0.06 (   0.03)      0.85 (   0.00)   1.90e-16   1.90e-16   1.27e-16   ok
   29      0.05 (   0.04)      0.06 (   0.03)      0.06 (   0.03)      0.61 (   0.00)   1.23e-16   1.23e-16   1.23e-16   ok
   30      0.05 (   0.04)      0.06 (   0.03)      0.07 (   0.03)      0.65 (   0.00)   1.18e-16   1.18e-16   1.18e-16   ok
