
Sat Sep 12 10:51:47 EDT 2015
numactl --interleave=all ../testing/testing_ssymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
% MAGMA 1.7.0  compiled for CUDA capability >= 3.5, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 7000, driver 7000. OpenMP threads 16. MKL 11.2.2, MKL threads 16. 
% device 0: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 1: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 2: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% Sat Sep 12 10:51:54 2015
% Usage: ../testing/testing_ssymv [options] [-h|--help]

% uplo = Lower
%   N   MAGMA Gflop/s (ms)    Atomics Gflop/s      CUBLAS Gflop/s       CPU Gflop/s   MAGMA error  Atomics    CUBLAS
%=====================================================================================================================
  123      0.66 (   0.05)      0.68 (   0.05)      0.46 (   0.07)      0.43 (   0.07)   9.30e-08   1.24e-07   1.24e-07   ok
 1234     21.17 (   0.14)     37.16 (   0.08)     23.63 (   0.13)      9.15 (   0.33)   5.44e-07   5.19e-07   4.95e-07   ok
   10      0.01 (   0.03)      0.01 (   0.03)      0.01 (   0.03)      0.12 (   0.00)   4.77e-08   4.77e-08   4.77e-08   ok
   11      0.01 (   0.03)      0.01 (   0.03)      0.01 (   0.02)      0.14 (   0.00)   4.33e-08   8.67e-08   4.33e-08   ok
   12      0.01 (   0.03)      0.01 (   0.03)      0.01 (   0.02)      0.15 (   0.00)   3.97e-08   1.99e-08   3.97e-08   ok
   13      0.01 (   0.03)      0.01 (   0.03)      0.02 (   0.02)      0.13 (   0.00)   3.67e-08   3.67e-08   7.34e-08   ok
   14      0.01 (   0.03)      0.02 (   0.03)      0.02 (   0.02)      0.22 (   0.00)   6.81e-08   3.41e-08   6.81e-08   ok
   15      0.02 (   0.03)      0.02 (   0.03)      0.02 (   0.02)      0.22 (   0.00)   6.36e-08   6.36e-08   6.36e-08   ok
   16      0.02 (   0.03)      0.02 (   0.03)      0.02 (   0.02)      0.29 (   0.00)   5.96e-08   5.96e-08   5.96e-08   ok
   17      0.02 (   0.03)      0.02 (   0.03)      0.03 (   0.02)      0.21 (   0.00)   1.12e-07   5.61e-08   5.61e-08   ok
   18      0.02 (   0.03)      0.03 (   0.03)      0.03 (   0.02)      0.24 (   0.00)   5.30e-08   5.30e-08   5.30e-08   ok
   19      0.03 (   0.03)      0.03 (   0.03)      0.03 (   0.02)      0.27 (   0.00)   5.02e-08   5.02e-08   5.02e-08   ok
   20      0.03 (   0.03)      0.03 (   0.03)      0.04 (   0.02)      0.29 (   0.00)   7.15e-08   4.77e-08   7.15e-08   ok
   21      0.03 (   0.03)      0.03 (   0.03)      0.04 (   0.02)      0.30 (   0.00)   9.08e-08   1.36e-07   6.81e-08   ok
   22      0.03 (   0.03)      0.04 (   0.03)      0.04 (   0.02)      0.35 (   0.00)   4.33e-08   8.67e-08   4.33e-08   ok
   23      0.04 (   0.03)      0.02 (   0.06)      0.05 (   0.02)      0.58 (   0.00)   8.29e-08   8.29e-08   8.29e-08   ok
   24      0.04 (   0.03)      0.04 (   0.03)      0.05 (   0.02)      0.56 (   0.00)   7.95e-08   7.95e-08   7.95e-08   ok
   25      0.04 (   0.03)      0.04 (   0.03)      0.06 (   0.02)      0.42 (   0.00)   7.63e-08   7.63e-08   3.81e-08   ok
   26      0.04 (   0.03)      0.05 (   0.03)      0.06 (   0.02)      0.49 (   0.00)   7.34e-08   7.34e-08   3.67e-08   ok
   27      0.05 (   0.03)      0.05 (   0.03)      0.07 (   0.02)      0.53 (   0.00)   7.06e-08   7.06e-08   7.06e-08   ok
   28      0.05 (   0.03)      0.05 (   0.03)      0.07 (   0.02)      0.52 (   0.00)   3.41e-08   6.81e-08   6.81e-08   ok
   29      0.05 (   0.03)      0.06 (   0.03)      0.07 (   0.03)      0.56 (   0.00)   9.87e-08   1.32e-07   6.58e-08   ok
   30      0.06 (   0.03)      0.06 (   0.03)      0.07 (   0.03)      0.60 (   0.00)   6.36e-08   6.36e-08   6.36e-08   ok
